timeToMaturityDays,liquidityScale,lltv,depth,oracleDisplacement,manipulationAchievableOnCurve,bindingConstraint,oraclePriceExceedsRedemptionCeiling,maxUpwardDisplacementAvailable,displacementRequiredForInsolvency,displacementInsolvencyReachable,manipulationCost,attackCapitalRequired,attackerOwnCapital,additionalBorrowCapacity,totalDebt,effectiveLeverage,manipulatedCollateralMark,referenceCollateralMark,realizableCollateralMark,oracleOvervaluation,liquidationValue,liquidationProfitable,liquidationLoss,protocolShortfall,attackerPnL,attackerNetOfManipulationCost,solventUnderReferenceMark,solventUnderRealizableMark
365,0.25,0.915,20,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,4565.164773011595,93173.26927218265,13.219481887046747,104774.27347895442,99785.02236090896,98977.87209915463,4989.25111804546,0,false,99785.02236090896,0,-3408.427681808187,-3408.427681808187,true,true
365,0.25,0.915,20,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.09289617486338786,true,,,7548.330805512461,13701.435540826584,143841.33310716553,19.83782491590214,164716.71141977343,149742.46492706676,148519.13219003912,14974.246492706676,0,false,149742.46492706676,0,-5428.593306460623,-5428.593306460623,true,true
365,0.25,0.945,1,0,true,,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,0,6990.509158985089,1.9187801278683574,14483.587148193861,14483.587148193861,14368.500488756968,0,6990.509158985089,true,7493.077989208772,0,-231.13945406362654,-231.13945406362654,true,true
365,0.25,0.945,1,0.01,true,,false,0.10789118092244898,0.058201058201058364,true,4667.9376787506335,184513.7274944415,7548.330805512461,137.52503881012126,7060.41425057494,1.9279645440516975,14698.443301399226,14552.914159801214,14437.274907701552,145.52914159801185,0,false,14552.914159801214,0,-232.8772780919826,-4900.814956842616,true,true
365,0.25,0.945,1,0.02,true,,false,0.10789118092244898,0.058201058201058364,true,11866.861964487936,337733.05573871214,7548.330805512461,276.36034856051265,7130.319342164792,1.937148893090228,14914.685477868881,14622.240664577334,14506.048807588997,292.4448132915477,0,false,14622.240664577334,0,-234.61560444934094,-12101.477568937276,true,true
365,0.25,0.945,1,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,700.7277597519187,7340.034616934344,1.9647015372956877,15571.727994487066,14830.217137606729,14712.367392620146,741.5108568803371,0,false,14830.217137606729,0,-239.83359774734618,-239.83359774734618,true,true
365,0.25,0.945,1,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,1434.2108558586096,7689.560074883598,2.010621267743962,16694.517898883292,15176.834453530266,15056.221317575557,1517.6834453530264,0,false,15176.834453530266,0,-248.5403021836819,-248.5403021836819,true,true
365,0.25,0.945,3,0,true,,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,0,19711.854961452213,3.5899717459463343,27098.294320846067,27098.294320846067,26882.388847651353,0,19711.854961452213,true,7386.439359393855,0,-548.8101763945751,-548.8101763945751,true,true
365,0.25,0.945,3,0.01,true,,false,0.10789118092244898,0.058201058201058364,true,4667.9376787506335,184513.7274944415,7548.330805512461,259.6775657824801,20096.08481157456,3.640421730078679,27753.89856511196,27479.107490209863,27260.15015116202,274.7910749020957,0,false,27479.107490209863,0,-558.5989777231662,-5226.5366564738,true,true
365,0.25,0.945,3,0.02,true,,false,0.10789118092244898,0.058201058201058364,true,11866.861964487936,337733.05573871214,7548.330805512461,526.644164751855,20485.218878325937,3.691514235364718,28422.066034227104,27864.77062179128,27642.72205248925,557.2954124358257,0,false,27864.77062179128,0,-568.5232665566828,-12435.38523104462,true,true
365,0.25,0.945,3,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,1372.6693963358957,21682.398248631554,3.8486924995445664,30503.764363019854,29051.204155257,28819.642759524406,1452.5602077628537,0,false,29051.204155257,0,-599.1223577635155,-599.1223577635155,true,true
365,0.25,0.945,3,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,2941.672028818248,23779.06512225308,4.123932209625235,34241.684991535156,31128.804537759235,30880.573572537294,3112.8804537759206,0,false,31128.804537759235,0,-652.9563294152822,-652.9563294152822,true,true
365,0.25,0.945,10,0,true,,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,0,53320.831601338876,8.000088420005444,60387.3138675506,60387.3138675506,59902.78901198905,0,53320.831601338876,true,7066.482266211722,0,-1425.9236072105668,-1425.9236072105668,true,true
365,0.25,0.945,10,0.01,true,,false,0.10789118092244898,0.058201058201058364,true,4667.9376787506335,184513.7274944415,7548.330805512461,595.6493993641561,55993.521234098764,8.350413369054674,63661.99929712248,63031.6824723985,62525.66200060419,630.316824723981,0,false,63031.6824723985,0,-1498.5237697989614,-6166.461448549595,true,true
365,0.25,0.945,10,0.02,true,,false,0.10789118092244898,0.058201058201058364,true,11866.861964487936,337733.05573871214,7548.330805512461,1244.0741168618624,58816.22607907709,8.720342158178553,67140.50789413195,65824.02734718818,65295.28350696511,1316.4805469437706,0,false,65824.02734718818,0,-1575.6438581090997,-13442.505822597035,true,true
365,0.25,0.945,10,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,3552.014397600433,68272.2036613845,9.959143262616962,78933.65328000966,75174.90788572349,74569.8837743479,3758.7453942861757,0,false,75174.90788572349,0,-1837.3530040104433,-1837.3530040104433,true,true
365,0.25,0.945,10,0.1,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,8938.899684298769,87924.24951277893,12.531450129570562,104050.68415585865,94591.53105078058,93827.21233728077,9459.153105078061,0,false,94591.53105078058,0,-2398.0923201220094,-2398.0923201220094,true,true
365,0.25,0.945,20,0,true,,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,0,81076.34678902314,11.636494281340251,87836.1082520102,87836.1082520102,87127.33654728193,0,81076.34678902314,true,6759.761462987066,0,-2192.3428133233956,-2192.3428133233956,true,true
365,0.25,0.945,20,0.01,true,,false,0.10789118092244898,0.058201058201058364,true,4667.9376787506335,184513.7274944415,7548.330805512461,895.3726436795259,88073.27976658188,12.55223576494579,95695.91218162152,94748.42790259558,93982.80099811872,947.4842790259427,0,false,94748.42790259558,0,-2392.77155462315,-7060.709233373784,true,true
365,0.25,0.945,20,0.02,true,,false,0.10789118092244898,0.058201058201058364,true,11866.861964487936,337733.05573871214,7548.330805512461,1936.157949148008,95864.50810641579,13.571506359634874,104491.063922273,102442.21953164019,101613.12985843401,2048.844390632803,0,false,102442.21953164019,0,-2619.139374650903,-14486.001339138838,true,true
365,0.25,0.945,20,0.05,false,CURVE_PROPORTION_CAP,false,0.10789118092244898,0.058201058201058364,true,,,7548.330805512461,6201.357419108928,125063.80247978267,17.38737517542738,137807.94264686518,131245.65966368112,130177.32276846995,6562.2829831840645,0,false,131245.65966368112,0,-3497.887316465804,-3497.887316465804,true,true
